timestamp,heart_rate,hrv,steps,stress_label
2025-01-01 00:00:00,81,42,0,0
2025-01-01 00:15:00,83,39,0,0
2025-01-01 00:30:00,82,41,0,0
2025-01-01 00:45:00,74,51,0,0
2025-01-01 01:00:00,73,36,0,0
2025-01-01 01:15:00,81,41,0,0
2025-01-01 01:30:00,82,53,0,0
2025-01-01 01:45:00,88,42,0,0
2025-01-01 02:00:00,74,47,0,0
2025-01-01 02:15:00,77,43,0,0
2025-01-01 02:30:00,74,63,0,0
2025-01-01 02:45:00,70,49,0,0
2025-01-01 03:00:00,73,51,0,0
2025-01-01 03:15:00,70,62,0,0
2025-01-01 03:30:00,61,56,0,0
2025-01-01 03:45:00,72,73,0,0
2025-01-01 04:00:00,63,66,0,0
2025-01-01 04:15:00,80,60,0,0
2025-01-01 04:30:00,57,60,0,0
2025-01-01 04:45:00,62,69,0,0
2025-01-01 05:00:00,67,62,0,0
2025-01-01 05:15:00,58,65,0,0
2025-01-01 05:30:00,58,63,0,0
2025-01-01 05:45:00,61,55,0,0
2025-01-01 06:00:00,59,66,0,0
2025-01-01 06:15:00,66,68,0,0
2025-01-01 06:30:00,60,72,0,0
2025-01-01 06:45:00,65,70,0,0
2025-01-01 07:00:00,64,63,0,0
2025-01-01 07:15:00,53,69,138,0
2025-01-01 07:30:00,68,68,153,0
2025-01-01 07:45:00,56,73,77,0
2025-01-01 08:00:00,56,62,23,0
2025-01-01 08:15:00,64,67,203,0
2025-01-01 08:30:00,57,66,1071,0
2025-01-01 08:45:00,54,49,32,0
2025-01-01 09:00:00,60,73,131,0
2025-01-01 09:15:00,56,69,160,0
2025-01-01 09:30:00,59,75,585,0
2025-01-01 09:45:00,60,65,44,0
2025-01-01 10:00:00,67,72,46,0
2025-01-01 10:15:00,62,59,13,0
2025-01-01 10:30:00,53,53,268,0
2025-01-01 10:45:00,67,66,160,0
2025-01-01 11:00:00,60,61,22,0
2025-01-01 11:15:00,73,81,215,0
2025-01-01 11:30:00,72,52,368,0
2025-01-01 11:45:00,59,55,548,0
2025-01-01 12:00:00,67,68,5,0
2025-01-01 12:15:00,62,55,97,0
2025-01-01 12:30:00,66,60,27,0
2025-01-01 12:45:00,74,47,332,0
2025-01-01 13:00:00,68,51,92,0
2025-01-01 13:15:00,74,53,224,0
2025-01-01 13:30:00,71,58,53,0
2025-01-01 13:45:00,68,41,54,0
2025-01-01 14:00:00,78,54,38,0
2025-01-01 14:15:00,71,65,589,0
2025-01-01 14:30:00,73,44,56,0
